country;designation;points;price;province;region_1;region_2;variety;winery;last_year_points
France;Barrel Sample;92;;Bordeaux;Saint-Émilion;;Bordeaux-style Red Blend;Château Haut-Sarpe;80
France;Barrel Sample;92;;Bordeaux;Pomerol;;Bordeaux-style Red Blend;Château la Cabanne;98
France;Barrel Sample;92;;Bordeaux;Pessac-Léognan;;Bordeaux-style White Blend;Château la Garde;83
France;Alter Ego de Château Palmer Barrel Sample;92;;Bordeaux;Margaux;;Bordeaux-style Red Blend;Château Palmer;85
France;Barrel Sample;92;;Bordeaux;Saint-Émilion;;Bordeaux-style Red Blend;Château Pavie Macquin;82
France;Barrel Sample;92;;Bordeaux;Pomerol;;Bordeaux-style Red Blend;Château Clinet;85
France;Barrel Sample;92;;Bordeaux;Pauillac;;Bordeaux-style Red Blend;Château Grand-Puy-Lacoste;84
France;Barrel Sample;92;;Bordeaux;Haut-Médoc;;Bordeaux-style Red Blend;Château Beaumont;86
France;Barrel Sample;92;;Bordeaux;Margaux;;Bordeaux-style Red Blend;Château Brane-Cantenac;96
France;Barrel Sample;92;;Bordeaux;Saint-Émilion;;Bordeaux-style Red Blend;Château la Gaffelière;89
France;Le Petit Lion Barrel Sample;92;;Bordeaux;Saint-Julien;;Bordeaux-style Red Blend;Château Léoville Las Cases;80
France;Barrel Sample;92;;Bordeaux;Pomerol;;Bordeaux-style Red Blend;Château Providence;98
France;Barrel Sample;92;;Bordeaux;Graves;;Bordeaux-style White Blend;Château Ferrande;80
France;Barrel Sample;92;;Bordeaux;Margaux;;Bordeaux-style Red Blend;Château Cantenac Brown;97
France;Barrel Sample;92;;Bordeaux;Pomerol;;Bordeaux-style Red Blend;Château le Bon Pasteur;88
France;Le Petit Mouton Barrel Sample;92;;Bordeaux;Pauillac;;Bordeaux-style Red Blend;Château Mouton Rothschild;81
France;Barrel Sample;92;;Bordeaux;Pessac-Léognan;;Bordeaux-style White Blend;Château Olivier;96
France;Barrel Sample;92;;Bordeaux;Saint-Julien;;Bordeaux-style Red Blend;Château Saint-Pierre;94
France;Barrel Sample;92;;Bordeaux;Saint-Estèphe;;Bordeaux-style Red Blend;Château Cos Labory;82
France;;87;;Alsace;Alsace;;Pinot Gris;Rieflé;100
Italy;Vigneti di Montegradella;87;14.0;Veneto;Valpolicella Classico Superiore;;Red Blend;Sartori;89
US;;87;39.0;California;Arroyo Seco;Central Coast;Pinot Noir;Scott Family;99
Italy;La Traversagna;87;30.0;Veneto;Valpolicella Classico Superiore Ripasso;;Corvina, Rondinella, Molinara;Monte Faustino;83
Italy;Costa delle Corone Tenazio;87;30.0;Veneto;Valpolicella Classico Superiore Ripasso;;Corvina, Rondinella, Molinara;Monteci;97
Portugal;Quinta do Tamariz;87;;Vinho Verde;;;Loureiro;Quinta de Santa Maria;97
US;Estate Grown;87;10.0;California;Paso Robles;Central Coast;Red Blend;2 Cocky Sisters;100
US;Odyssey Estate Reserve;87;50.0;California;Napa Valley;Napa;Bordeaux-style Red Blend;Arger-Martucci;80
US;Talianna;87;70.0;California;Napa Valley;Napa;Red Blend;Bell;87
Canada;Beamsville Bench;87;15.0;Ontario;Niagara Peninsula;;Riesling;Cave Spring;89
Spain;;87;18.0;Northern Spain;Toro;;Tempranillo;Campiña;93
US;The McNab;87;36.0;California;Mendocino County;Mendocino/Lake Counties;Red Blend;Bonterra;84
US;Nueva;87;18.0;California;Carneros;Napa-Sonoma;Chardonnay;Carneros Highway;89
France;Plan de Dieu;87;19.0;Rhône Valley;Côtes du Rhône Villages;;Rhône-style Red Blend;Château du Trignon;89
Italy;;87;20.0;Veneto;Valpolicella Classico Superiore Ripasso;;Corvina, Rondinella, Molinara;Corte Lenguin;92
Spain;Blanco;87;35.0;Northern Spain;Rioja;;White Blend;Finca Allende;99
France;Millésime L'Exception Brut;87;;Alsace;Crémant d'Alsace;;Sparkling Blend;Dopff & Irion;98
US;;87;11.0;Washington;Columbia Valley (WA);Columbia Valley;Cabernet Sauvignon;Hogue;94
Italy;;87;25.0;Veneto;Valpolicella Classico Superiore Ripasso;;Corvina, Rondinella, Molinara;Luciana Cordioli;86
Spain;Campo Burgo Crianza;87;13.0;Northern Spain;Rioja;;Tempranillo;Marqués de Campo Nuble;83
US;;87;23.0;California;Dry Creek Valley;Sonoma;Petite Sirah;Miro;83
US;Evergreen Lek Vineyard Dry;87;18.0;New York;Finger Lakes;Finger Lakes;Riesling;Keuka Lake Vineyards;82
US;;87;26.0;California;Napa Valley;Napa;Chardonnay;Frog's Leap;97
Spain;;87;55.0;Northern Spain;Tierra de León;;Prieto Picudo;Pricum;98
US;;87;38.0;California;Napa Valley;Napa;Cabernet Sauvignon;Sequoia Grove;94
Portugal;Herdade das Servas Vinhas Velhas;87;12.0;Alentejano;;;Portuguese Red;Serrano Mira;88
US;;87;40.0;California;Napa Valley;Napa;Cabernet Sauvignon;Simple Math Cellars;82
US;Second Chance;87;15.0;Washington;Washington;Washington Other;Rosé;Thurston Wolfe;90
US;;87;22.0;California;Sonoma County;Sonoma;Cabernet Sauvignon;St. Francis;90
France;Barrel Sample;92;;Bordeaux;Saint-Émilion;;Bordeaux-style Red Blend;Les Astéries;82
France;Barrel Sample;92;;Bordeaux;Pessac-Léognan;;Bordeaux-style Red Blend;Domaine de Chevalier;86
France;Barrel Sample;92;;Bordeaux;Saint-Julien;;Bordeaux-style Red Blend;Croix de Beaucaillou;90
France;Barrel Sample;92;;Bordeaux;Sauternes;;Bordeaux-style White Blend;Château Bastor-Lamontagne;91
France;Barrel Sample;92;;Bordeaux;Margaux;;Bordeaux-style Red Blend;Château Lascombes;85
France;Barrel Sample;92;;Bordeaux;Pessac-Léognan;;Bordeaux-style Red Blend;Château Malartic-Lagravière;91
France;Barrel Sample;92;;Bordeaux;Graves;;Bordeaux-style White Blend;Château Rahoul;100
France;Barrel Sample;91;;Bordeaux;Haut-Médoc;;Bordeaux-style Red Blend;Château Coufran;84
France;Barrel Sample;91;;Bordeaux;Graves;;Bordeaux-style White Blend;Château de Chantegrive;85
France;Barrel Sample;91;;Bordeaux;Pessac-Léognan;;Bordeaux-style Red Blend;Château Pape Clément;100
France;Barrel Sample;91;;Bordeaux;Saint-Émilion;;Bordeaux-style Red Blend;Château Pavie;94
France;Barrel Sample;91;;Bordeaux;Saint-Émilion;;Bordeaux-style Red Blend;Château Fombrauge;85
France;Barrel Sample;91;;Bordeaux;Pomerol;;Bordeaux-style Red Blend;Château Latour à Pomerol;95
France;Les Tourelles de Longueville Barrel Sample;91;;Bordeaux;Pauillac;;Bordeaux-style Red Blend;Château Pichon Longueville;96
France;Barrel Sample;91;;Bordeaux;Pessac-Léognan;;Bordeaux-style White Blend;Château Picque Caillou;80
France;Barrel Sample;91;;Bordeaux;Margaux;;Bordeaux-style Red Blend;Château Rauzan-Ségla;87
France;Barrel Sample;91;;Bordeaux;Pessac-Léognan;;Bordeaux-style Red Blend;Château Carbonnieux;98
France;Barrel Sample;91;;Bordeaux;Moulis-en-Médoc;;Bordeaux-style Red Blend;Château Chasse-Spleen;85
France;Barrel Sample;91;;Bordeaux;Pauillac;;Bordeaux-style Red Blend;Château Fonbadet;96
France;Barrel Sample;91;;Bordeaux;Saint-Émilion;;Bordeaux-style Red Blend;Château Franc Mayne;91
France;Barrel Sample;91;;Bordeaux;Barsac;;Bordeaux-style White Blend;Château Broustet;95
France;Barrel Sample;91;;Bordeaux;Margaux;;Bordeaux-style Red Blend;Château d'Arsac;84
France;Barrel Sample;91;;Bordeaux;Pessac-Léognan;;Bordeaux-style Red Blend;Château de Fieuzal;82
France;Barrel Sample;91;;Bordeaux;Saint-Émilion;;Bordeaux-style Red Blend;Château la Couspaude;92
France;Barrel Sample;91;;Bordeaux;Médoc;;Bordeaux-style Red Blend;Château Potensac;82
France;Barrel Sample;91;;Bordeaux;Saint-Estèphe;;Bordeaux-style Red Blend;Château Tronquoy-Lalande;94
US;Annadel Estate Vineyard;87;45.0;California;Sonoma Valley;Sonoma;Pinot Noir;Westwood;90
US;Coastlands Vineyard;87;72.0;California;Sonoma Coast;Sonoma;Pinot Noir;Williams Selyem;85
Italy;Ma Roat;87;15.0;Veneto;Valpolicella Ripasso;;Corvina, Rondinella, Molinara;Tezza;89
US;;87;30.0;California;Santa Cruz Mountains;Central Coast;Pinot Noir;Vine Hill;90
US;;87;28.0;California;Happy Canyon of Santa Barbara;Central Coast;Sauvignon Blanc;Vogelzang;94
Chile;Reserva;87;9.0;Central Valley;;;Pinot Noir;Luis Felipe Edwards;95
Chile;Cuvée;87;20.0;Rapel Valley;;;Cabernet Sauvignon;Misiones de Rengo;82
US;LB;87;32.0;California;Russian River Valley;Sonoma;Chardonnay;Mueller;100
Australia;Ass Kisser Fine Red Wine;87;10.0;South Australia;South Australia;;Red Blend;Rocland Estate;96
Italy;;87;31.0;Veneto;Valpolicella Classico Superiore;;Corvina, Rondinella, Molinara;Rubinelli Vajol;87
Chile;Classic;87;12.0;Leyda Valley;;;Chardonnay;Leyda;83
Italy;Vignenuove;87;25.0;Veneto;Valpolicella Classico Superiore Ripasso;;Corvina, Rondinella, Molinara;Luciana Cordioli;91
US;;87;18.0;California;Central Coast;Central Coast;Syrah;Qupé;88
Spain;Crianza;87;12.0;Northern Spain;Rioja;;Tempranillo;Campo Viejo;93
Portugal;Monte Cascas Colheita;87;16.0;Douro;;;Portuguese Red;Casca Wines;87
Portugal;Monte Cascas Reserva;87;24.0;Minho;;;Portuguese White;Casca Wines;80
France;;87;12.0;Rhône Valley;Costières de Nîmes;;Grenache-Syrah;Château Grande Cassagne;85
Chile;;87;10.0;Bío Bío Valley;;;Riesling;Cono Sur;90
Chile;Visión;87;13.0;Casablanca Valley;;;Sauvignon Blanc;Cono Sur;96
France;Les Maquisards;87;25.0;Alsace;Alsace;;Pinot Gris;Dopff & Irion;96
Italy;;87;36.0;Veneto;Amarone della Valpolicella Classico;;Corvina, Rondinella, Molinara;Corte Lenguin;88
Italy;Podere Bertarole Ripassato;87;25.0;Veneto;Valpolicella Classico Superiore;;Corvina, Rondinella, Molinara;Corteforte;85
Australia;The Footbolt;87;19.0;South Australia;McLaren Vale;;Shiraz;D'Arenberg;86
Australia;Estate Grown;87;30.0;Victoria;Yarra Valley;;Chardonnay;De Bortoli;89
Portugal;Red Leg;87;11.0;Alentejano;;;Albana;Falua;94
US;Hunnysuckle;87;34.0;California;Santa Ynez Valley;Central Coast;Sauvignon Blanc;Fiddlehead;84
US;Salmon Run;87;12.0;New York;Finger Lakes;Finger Lakes;Gewürztraminer;Dr. Konstantin Frank;99
US;Private Reserve;87;115.0;California;Napa Valley;Napa;Cabernet Sauvignon;Beringer;95
US;;87;40.0;California;Napa Valley;Napa;Cabernet Sauvignon;Arger-Martucci;90
US;Dry;87;16.0;New York;Finger Lakes;Finger Lakes;Riesling;Atwater;90
France;Barrel Sample;91;;Bordeaux;Margaux;;Bordeaux-style Red Blend;Château Ferrière;90
France;Barrel Sample;91;;Bordeaux;Saint-Estèphe;;Bordeaux-style Red Blend;Château Haut-Marbuzet;100
France;Barrel Sample;91;;Bordeaux;Saint-Émilion;;Bordeaux-style Red Blend;Le Carré;82
France;Barrel Sample;91;;Bordeaux;Pomerol;;Bordeaux-style Red Blend;Château Beauregard;97
France;Barrel Sample;91;;Bordeaux;Saint-Émilion;;Bordeaux-style Red Blend;Château Canon la Gaffelière;93
France;Barrel Sample;91;;Bordeaux;Saint-Émilion;;Bordeaux-style Red Blend;Château la Dominique;82
France;La Chapelle de la Mission Haut-Brion Barrel Sample;91;;Bordeaux;Pessac-Léognan;;Bordeaux-style Red Blend;Château La Mission Haut-Brion;96
France;Le Petit Cheval Barrel Sample;91;;Bordeaux;Saint-Émilion;;Bordeaux-style Red Blend;Château Cheval Blanc;98
France;Barrel Sample;91;;Bordeaux;Margaux;;Bordeaux-style Red Blend;Château d'Issan;100
France;Barrel Sample;91;;Bordeaux;Sauternes;;Bordeaux-style White Blend;Château Filhot;84
France;Barrel Sample;91;;Bordeaux;Pomerol;;Bordeaux-style Red Blend;Château Bourgneuf;91
France;Barrel Sample;91;;Bordeaux;Haut-Médoc;;Bordeaux-style Red Blend;Château Citran;90
France;Barrel Sample;91;;Bordeaux;Saint-Émilion;;Bordeaux-style Red Blend;Château La Tour Figeac;98
France;Barrel Sample;91;;Bordeaux;Pessac-Léognan;;Bordeaux-style Red Blend;Château Larrivet Haut-Brion;92
France;Barrel Sample;91;;Bordeaux;Margaux;;Bordeaux-style Red Blend;Château Malescot Saint-Exupery;85
France;La Dame de Montrose Barrel Sample;91;;Bordeaux;Saint-Estèphe;;Bordeaux-style Red Blend;Château Montrose;87
France;Barrel Sample;91;;Bordeaux;Pomerol;;Bordeaux-style Red Blend;Château Nenin;89
France;Barrel Sample;91;;Bordeaux;Saint-Émilion;;Bordeaux-style Red Blend;Château Villemaurine;91
France;Barrel Sample;91;;Bordeaux;Saint-Émilion;;Bordeaux-style Red Blend;Château Grand Corbin-Despagne;83
France;Barrel Sample;90;;Bordeaux;Saint-Émilion;;Bordeaux-style Red Blend;Château Berliquet;81
France;Barrel Sample;90;;Bordeaux;Pomerol;;Bordeaux-style Red Blend;Château la Croix de Gay;90
France;Barrel Sample;90;;Bordeaux;Saint-Émilion;;Bordeaux-style Red Blend;Château Soutard;91
France;Barrel Sample;90;;Bordeaux;Lalande de Pomerol;;Bordeaux-style Red Blend;Château la Fleur de Boüard;96
France;Barrel Sample;90;;Bordeaux;Pessac-Léognan;;Bordeaux-style Red Blend;Château Olivier;85
France;Barrel Sample;90;;Bordeaux;Moulis-en-Médoc;;Bordeaux-style Red Blend;Château Poujeaux;97
France;Barrel Sample;90;;Bordeaux;Saint-Émilion;;Bordeaux-style Red Blend;Château Cap de Mourlin;98
France;Barrel Sample;90;;Bordeaux;Graves;;Bordeaux-style Red Blend;Château de Chantegrive;80
France;Schlossberg Grand Cru;87;;Alsace;Alsace;;Riesling;Audrey et Christine Binner;90
Spain;Luzon;87;9.0;Levante;Jumilla;;Red Blend;Bodegas Luzón;88
Italy;Le Poiane;87;14.0;Veneto;Valpolicella Classico Superiore Ripasso;;Corvina, Rondinella, Molinara;Bolla;85
Portugal;Senses;87;13.0;Alentejano;;;Syrah;Adega Cooperativa de Borba;88
Spain;Ecològic;87;41.0;Catalonia;Priorat;;Red Blend;Genium Celler;91
US;Oughterson Family Estates;87;13.0;New York;Seneca Lake;Finger Lakes;Riesling;Highland Cellars;82
Chile;Viognier-Sauvignon Blanc-Chardonnay;87;8.0;Lontué Valley;;;White Blend;Korta;93
Portugal;Vila Santa;87;20.0;Alentejano;;;Trincadeira;J. Portugal Ramos;87
US;;87;32.0;California;St. Helena;Napa;Sauvignon Blanc;Joseph Phelps;88
Chile;Queulat Gran Reserva;87;15.0;Maipo Valley;;;Carmenère;Ventisquero;82
US;Grand Reserve;87;15.0;California;Napa Valley;Napa;Cabernet Sauvignon;Villa Mt. Eden;90
US;Southern Hills;87;15.0;California;Livermore Valley;Central Coast;Cabernet Sauvignon;Wente;92
US;Annadel Estate Vineyard;87;29.0;California;Sonoma Valley;Sonoma;Syrah;Westwood;89
US;Forchini Vineyard;87;60.0;California;Russian River Valley;Sonoma;Zinfandel;Williams Selyem;93
Italy;Vigneti dei Coali;87;;Veneto;Amarone della Valpolicella Classico;;Corvina, Rondinella, Molinara;Savoia;95
US;;87;26.0;California;Russian River Valley;Sonoma;Pinot Noir;Sebastiani;97
Italy;Monterè Cà de' Rocchi;87;14.0;Veneto;Valpolicella Superiore Ripasso;;Corvina, Rondinella, Molinara;Tinazzi;95
Italy;Monterè Cà de' Rocchi;87;;Veneto;Valpolicella Superiore Ripasso;;Corvina, Rondinella, Molinara;Tinazzi;81
US;;87;45.0;California;Paso Robles;Central Coast;Grenache;Sobriquet Winery;89
US;The Road Less Travelled;87;18.0;California;Amador County;Sierra Foothills;Tempranillo;St. Amant;100
US;;87;19.0;New York;Finger Lakes;Finger Lakes;Gewürztraminer;Standing Stone;92
Italy;;87;26.0;Veneto;Valpolicella Superiore Ripasso;;Corvina, Rondinella, Molinara;Santa Sofia;88
Italy;Solane;87;15.0;Veneto;Valpolicella Classico Superiore Ripasso;;Corvina;Santi;97
Italy;I Saltari Le Vigne di Turano;87;27.0;Veneto;Valpolicella Superiore;;Corvina, Rondinella, Molinara;Sartori;90
US;Saralee's Vineyard;87;30.0;California;Russian River Valley;Sonoma;Viognier;Arrowood;81
Italy;;87;26.0;Veneto;Valpolicella Classico Superiore Ripasso;;Corvina, Rondinella, Molinara;Arduini;87
US;Law of Proportions;87;38.0;California;California;California Other;Syrah;Autonom;90
US;;87;17.0;New York;Finger Lakes;Finger Lakes;Gewürztraminer;Atwater;81
Italy;;87;;Veneto;Valpolicella Superiore Ripasso;;Corvina, Rondinella, Molinara;Bottega;84
France;Barrel Sample;90;;Bordeaux;Margaux;;Bordeaux-style Red Blend;Chateau Dauzac;96
France;Barrel Sample;90;;Bordeaux;Pessac-Léognan;;Bordeaux-style Red Blend;Château de France;84
France;Barrel Sample;90;;Bordeaux;Pomerol;;Bordeaux-style Red Blend;Château La Grave à Pomerol;90
France;Barrel Sample;90;;Bordeaux;Saint-Émilion;;Bordeaux-style Red Blend;Château Péby Faugères;88
France;Barrel Sample;90;;Bordeaux;Saint-Émilion;;Bordeaux-style Red Blend;Château Faugères;91
France;Barrel Sample;90;;Bordeaux;Bordeaux Blanc;;Bordeaux-style White Blend;Le Nardian;86
France;Barrel Sample;90;;Bordeaux;Saint-Émilion;;Bordeaux-style Red Blend;Château La Serre;84
France;Barrel Sample;90;;Bordeaux;Saint-Émilion;;Bordeaux-style Red Blend;Château la Tour de Pin;90
France;Barrel Sample;90;;Bordeaux;Pessac-Léognan;;Bordeaux-style Red Blend;Château Les Carmes Haut-Brion;85
France;Barrel Sample;90;;Bordeaux;Saint-Émilion;;Bordeaux-style Red Blend;Château Quintus;82
France;Barrel Sample;90;;Bordeaux;Bordeaux Blanc;;Bordeaux-style White Blend;Château Cos d'Estournel;88
France;Barrel Sample;90;;Bordeaux;Haut-Médoc;;Bordeaux-style Red Blend;Château d'Agassac;88
France;Barrel Sample;90;;Bordeaux;Saint-Émilion;;Bordeaux-style Red Blend;Château Fleur Cardinale;84
France;Barrel Sample;90;;Bordeaux;Sauternes;;Bordeaux-style White Blend;Château Lamothe;97
France;Barrel Sample;90;;Bordeaux;Haut-Médoc;;Bordeaux-style Red Blend;Château Larose-Trintaudon;97
France;Barrel Sample;90;;Bordeaux;Saint-Émilion;;Bordeaux-style Red Blend;Château Lassègue;100
France;Barrel Sample;90;;Bordeaux;Margaux;;Bordeaux-style Red Blend;Château du Tertre;93
France;Barrel Sample;90;;Bordeaux;Fronsac;;Bordeaux-style Red Blend;Château Fontenil;95
France;Barrel Sample;90;;Bordeaux;Pessac-Léognan;;Bordeaux-style White Blend;Château Haut-Bergey;93
France;Barrel Sample;89;;Bordeaux;Pauillac;;Bordeaux-style Red Blend;Château Bellegrave;91
France;Barrel Sample;89;;Bordeaux;Margaux;;Bordeaux-style Red Blend;Château d'Angludet;80
France;Barrel Sample;89;;Bordeaux;Pessac-Léognan;;Bordeaux-style Red Blend;Château la Garde;100
France;Barrel Sample;89;;Bordeaux;Saint-Estèphe;;Bordeaux-style Red Blend;Château Phélan-Ségur;99
France;Barrel Sample;89;;Bordeaux;Saint-Émilion;;Bordeaux-style Red Blend;Château Haut-Simard;98
France;Barrel Sample;89;;Bordeaux;Pomerol;;Bordeaux-style Red Blend;Château La Conseillante;91
France;Barrel Sample;89;;Bordeaux;Pessac-Léognan;;Bordeaux-style Red Blend;Château la Louvière;83
France;Barrel Sample;89;;Bordeaux;Haut-Médoc;;Bordeaux-style Red Blend;Château Villegeorge;82
France;Barrel Sample;89;;Bordeaux;Saint-Émilion;;Bordeaux-style Red Blend;Château Balestard la Tonnelle;89
France;Barrel Sample;89;;Bordeaux;Margaux;;Bordeaux-style Red Blend;Château Deyrem Valentin;95
France;Barrel Sample;89;;Bordeaux;Pessac-Léognan;;Bordeaux-style Red Blend;Château Bouscaut;85
Italy;Campolieti;87;17.0;Veneto;Valpolicella Classico Superiore Ripasso;;Corvina, Rondinella, Molinara;Luigi Righetti;100
Australia;;87;20.0;Victoria;Victoria;;Shiraz-Viognier;Innocent Bystander;93
US;;87;35.0;California;Russian River Valley;Sonoma;Pinot Noir;J Vineyards & Winery;82
US;Falling Man Vineyard Dry;87;18.0;New York;Finger Lakes;Finger Lakes;Riesling;Keuka Lake Vineyards;82
Italy;;87;;Veneto;Valpolicella Classico Superiore Ripasso;;Corvina, Rondinella, Molinara;La Dama;88
Italy;Le Guaite di Giulietta;87;;Veneto;Amarone della Valpolicella;;Corvina, Rondinella, Molinara;Le Guaite;88
US;;87;22.0;California;Santa Ynez Valley;Central Coast;Syrah;Brander;80
Italy;;87;;Veneto;Valpolicella Classico Superiore;;Corvina, Rondinella, Molinara;Fabiano;91
Italy;Campedel;87;18.0;Veneto;Valpolicella Classico Superiore Ripasso;;Corvina, Rondinella, Molinara;Gamba;80
US;;87;13.0;California;Santa Ynez Valley;Central Coast;Sauvignon Blanc;Firestone;94
US;;87;20.0;California;Russian River Valley;Sonoma;Chardonnay;Foppiano;89
Italy;Morari Torre d'Orti;87;25.0;Veneto;Valpolicella Superiore;;Corvina, Rondinella, Molinara;Cavalchina;89
US;;87;13.0;Washington;Columbia Valley (WA);Columbia Valley;Chardonnay;Chateau Ste. Michelle;81
Portugal;Churchill Estates;87;24.0;Douro;;;Portuguese Red;Churchill's;82
Italy;;87;55.0;Veneto;Amarone della Valpolicella Classico;;Corvina, Rondinella, Molinara;Cantine Lenotti di Lenotti;84
Portugal;Cape Roca Fisherman;87;13.0;Lisboa;;;Portuguese White;Casca Wines;95
France;;87;;Alsace;Alsace;;Gewürztraminer;Rieflé;97
France;Pinot Blanc Bonheur Convivial;87;;Alsace;Alsace;;Pinot Blanc;Rieflé;95
Italy;Ca' del Laito;87;;Veneto;Valpolicella Superiore Ripasso;;Corvina, Rondinella, Molinara;Tommaso Bussola;95
US;;87;20.0;California;Carneros;Napa-Sonoma;Pinot Noir;Valley of the Moon;85
Spain;;87;15.0;Galicia;Rías Baixas;;Albariño;Señorío de Rubiós;94
US;Dr. Wolfe's Family Red;87;16.0;Washington;Washington;Washington Other;Red Blend;Thurston Wolfe;88
Italy;;87;;Veneto;Valpolicella Classico Superiore Ripasso;;Corvina, Rondinella, Molinara;Novaia;95
US;Bien Nacido Hillside Estate;87;40.0;California;Santa Maria Valley;Central Coast;Syrah;Qupé;86
US;;87;38.0;California;Russian River Valley;Sonoma;Chardonnay;Perception;100
Italy;I Saltari Le Vigne di Turano;87;25.0;Veneto;Valpolicella Superiore;;Corvina, Rondinella, Molinara;Sartori;91
Italy;Vigneti di Montegradella;87;14.0;Veneto;Valpolicella Classico Superiore;;Corvina, Rondinella, Molinara;Sartori;97
Australia;Cliff Edge;87;18.0;Victoria;Victoria;;Shiraz;Mount Langi Ghiran;83
Italy;Colline di Moron Rabieto;87;;Veneto;Amarone della Valpolicella Classico;;Corvina, Rondinella, Molinara;Salgari;90
Italy;Vigneto Poiega;87;;Veneto;Valpolicella Classico Superiore;;Corvina, Rondinella, Molinara;Mazzi;97
France;Barrel Sample;89;;Bordeaux;Pomerol;;Bordeaux-style Red Blend;Château la Pointe;98
France;Barrel Sample;89;;Bordeaux;Pessac-Léognan;;Bordeaux-style Red Blend;Château Latour-Martillac;98
France;Barrel Sample;89;;Bordeaux;Saint-Estèphe;;Bordeaux-style Red Blend;Château Lilian Ladouys;90
France;Barrel Sample;89;;Bordeaux;Médoc;;Bordeaux-style Red Blend;Château Preuillac;88
France;Barrel Sample;89;;Bordeaux;Saint-Émilion;;Bordeaux-style Red Blend;Château Cadet-Bon;82
France;Barrel Sample;89;;Bordeaux;Pomerol;;Bordeaux-style Red Blend;Château Lafleur-Gazin;98
France;Barrel Sample;89;;Bordeaux;Haut-Médoc;;Bordeaux-style Red Blend;Château Malescasse;81
France;Barrel Sample;89;;Bordeaux;Margaux;;Bordeaux-style Red Blend;Château Rauzan-Gassies;95
France;Barrel Sample;89;;Bordeaux;Margaux;;Bordeaux-style Red Blend;Chateau Desmirail;98
France;Barrel Sample;89;;Bordeaux;Graves;;Bordeaux-style Red Blend;Château Ferrande;88
France;Barrel Sample;89;;Bordeaux;Pomerol;;Bordeaux-style Red Blend;Château Gazin;92
France;Barrel Sample;89;;Bordeaux;Haut-Médoc;;Bordeaux-style Red Blend;Château Peyrabon;94
France;Barrel Sample;89;;Bordeaux;Saint-Émilion;;Bordeaux-style Red Blend;Château Quinault L'Enclos;86
France;Barrel Sample;89;;Bordeaux;Saint-Émilion;;Bordeaux-style Red Blend;Château Corbin Michotte;94
France;Barrel Sample;89;;Bordeaux;Saint-Émilion;;Bordeaux-style Red Blend;Château Grand Barrail Lamarzelle Figeac;87
France;Barrel Sample;89;;Bordeaux;Pessac-Léognan;;Bordeaux-style Red Blend;Château Haut-Bergey;80
France;Barrel Sample;88;;Bordeaux;Saint-Émilion;;Bordeaux-style Red Blend;Château Clos de Sarpe;82
France;Barrel Sample;88;;Bordeaux;Haut-Médoc;;Bordeaux-style Red Blend;Château Lamothe-Cissac;82
France;Barrel Sample;88;;Bordeaux;Saint-Émilion;;Bordeaux-style Red Blend;Château Larcis Ducasse;99
France;Barrel Sample;88;;Bordeaux;Moulis-en-Médoc;;Bordeaux-style Red Blend;Château Maucaillou;93
France;Barrel Sample;88;;Bordeaux;Haut-Médoc;;Bordeaux-style Red Blend;Château Reysson;95
France;Barrel Sample;88;;Bordeaux;Saint-Émilion;;Bordeaux-style Red Blend;Château Teyssier;83
France;Barrel Sample;88;;Bordeaux;Saint-Émilion;;Bordeaux-style Red Blend;Château Dassault;98
France;Barrel Sample;88;;Bordeaux;Margaux;;Bordeaux-style Red Blend;Château Mongravey;86
France;Barrel Sample;88;;Bordeaux;Saint-Émilion;;Bordeaux-style Red Blend;Château Fonbel;97
France;Barrel Sample;88;;Bordeaux;Graves;;Bordeaux-style Red Blend;Château Rahoul;92
France;Barrel Sample;88;;Bordeaux;Margaux;;Bordeaux-style Red Blend;Château Siran;86
France;Barrel Sample;88;;Bordeaux;Saint-Émilion;;Bordeaux-style Red Blend;Château Fonplégade;86
France;Barrel Sample;88;;Bordeaux;Saint-Émilion;;Bordeaux-style Red Blend;Château Guadet;98
US;;87;10.0;California;California;California Other;Syrah;McManis;89
Spain;Limited Release;87;15.0;Galicia;Rías Baixas;;Albariño;Vionta;81
US;Troublemaker Blend 1;87;20.0;California;Paso Robles;Central Coast;Rhône-style Red Blend;Westside Red;91
France;Brut;86;24.0;Alsace;Crémant d'Alsace;;Sparkling Blend;Dopff & Irion;82
US;Heritage;86;19.0;California;Sonoma County;Sonoma;Zinfandel;Dry Creek Vineyard;90
Portugal;Conde de Vimioso Colheita Seleccionada;86;9.0;Tejo;;;Portuguese Red;Falua;88
France;Massif d'Uchaux;86;12.0;Rhône Valley;Côtes du Rhône Villages;;Rhône-style Red Blend;Domaine de la Renjarde;98
Chile;Late Harvest Special Selection;86;15.0;Curicó Valley;;;Sauvignon Blanc;Echeverria;96
Spain;;86;17.0;Northern Spain;Vino de la Tierra de Castilla y León;;Verdejo;El Pensador;86
Australia;Citrine;86;17.0;South Australia;McLaren Vale;;Chardonnay;Gemtree;84
Australia;;86;8.0;Australia Other;South Eastern Australia;;Chardonnay;Jacob's Creek;81
US;;86;18.0;California;Santa Barbara County;Central Coast;Pinot Noir;Jekel;98
Chile;;86;12.0;Colchagua Valley;;;Merlot;Calcu;89
US;Private Reserve;86;35.0;California;Napa Valley;Napa;Chardonnay;Beringer;84
US;Reserve;86;27.0;Virginia;Virginia;;Chardonnay;Barrel Oak;86
